Title,Score,Directors,Actors,url
星际精灵蓝多多,8.0,赵牛 / 高亚麟,高亚麟 / 宋丹丹 / 程媛媛 / 洪剑涛 / 张一山,https://movie.douban.com/subject/5413820/
神圣使命,8.0,何群,张嘉译 / 林龙麒 / 黄曼 / 赵小锐 / 张兆北,https://movie.douban.com/subject/6778696/
师傅,8.0,齐星,夏雨 / 李幼斌 / 阎娜,https://movie.douban.com/subject/5966971/
梦想X计划,8.0,倪晶,王嘉禾,https://movie.douban.com/subject/26811731/
毕业时刻,8.0,王静,蒋小涵 / 章龄之 / 刘雨欣 / 舒砚 / 张超,https://movie.douban.com/subject/5969347/
闯荡,8.0,张汉杰,胡可 / 沙溢 / 谭希和 / 邓家佳 / 张陆,https://movie.douban.com/subject/4888125/
正阳门下小女人,7.9,刘家成,蒋雯丽 / 倪大红 / 田海蓉 / 崔心心 / 乔大韦,https://movie.douban.com/subject/27073039/
射雕英雄传,7.9,蒋家骏,杨旭文 / 李一桐 / 陈星旭 / 孟子义 / 赵立新,https://movie.douban.com/subject/26663086/
和平饭店,7.9,李骏 / 白涛,陈数 / 雷佳音 / 李光洁 / 陶慧 / 张一龙,https://movie.douban.com/subject/26828285/
花间提壶方大厨,7.9,李小江,雷牧 / 蒋佳恩 / 常铖 / 胡琨,https://movie.douban.com/subject/26868416/
火蓝刀锋,7.9,张国庆,杨志刚 / 郑凯 / 白威 / 赫子铭 / 刘思言,https://movie.douban.com/subject/10566537/
嘿，老头！,7.9,杨亚洲,李雪健 / 黄磊 / 宋佳 / 吴冕 / 吴玉芳,https://movie.douban.com/subject/25865536/
铁梨花,7.9,郭靖宇,陈数 / 巍子 / 张少华 / 杨志刚 / 孙强,https://movie.douban.com/subject/4728873/
将爱情进行到底,7.9,张一白,李亚鹏 / 徐静蕾 / 王学兵 / 王渝文 / 谢雨欣,https://movie.douban.com/subject/2157239/
不过是分手,7.9,王梓骏,陈思贤 / 马佳慧 / 陈静 / 艾涛 / 周莉莉,https://movie.douban.com/subject/30210257/
我爱男保姆,7.9,张晓波,雷佳音 / 袁姗姗 / 车晓 / 曹曦文 / 李玥,https://movie.douban.com/subject/26125672/
绝世高手之大侠卢小鱼,7.9,卢正雨,卢正雨 / 蒋宏杰,https://movie.douban.com/subject/25813439/
海上孟府,7.9,张挺,段奕宏 / 章婷婷 / 廖凡 / 陈冲 / 曾江,https://movie.douban.com/subject/10877418/
剧场,7.9,杨文军,陈数 / 翟天临 / 孙淳 / 种丹妮 / 梁丽,https://movie.douban.com/subject/20514931/
三八线,7.9,梦继,张国强 / 王挺 / 曹曦文 / 汪裴 / 刘世龙,https://movie.douban.com/subject/26410673/
风云年代,7.9,刘雪松,张铎 / 李亚天 / 杨旻娜 / 徐百卉 / 石文中,https://movie.douban.com/subject/26088464/
啊，父老乡亲,7.9,赵镭,孙涛 / 高明 / 斯琴高娃 / 李诚儒,https://movie.douban.com/subject/27002002/
到爱的距离,7.9,简川訸 / 张开宙,李晨 / 靳东 / 崔心心 / 李佳 / 潘虹,https://movie.douban.com/subject/24381632/
雪花那个飘,7.9,安建,张译 / 刘威葳 / 齐欢 / 毛孩 / 潘雨辰,https://movie.douban.com/subject/5669176/
百变马丁,7.9,张天晓,姚培华 / 游军 / 张安琪,https://movie.douban.com/subject/26696590/
养父,7.9,张国立,张国立 / 牛莉 / 韩雨芹 / 茹萍 / 张宛庭,https://movie.douban.com/subject/5399908/
新安家族,7.9,张培根 / 王枫 / 白一聪 / 王南,张正阳 / 吴孟达 / 刘钧 / 王绘春 / 赵敏芬,https://movie.douban.com/subject/5353561/
老家门口唱大戏,7.9,王硕,范伟 / 闫学晶 / 白恩 / 吴紫彤,https://movie.douban.com/subject/11632407/
